,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
477573,1,2,1909,1900,2256,2230,407,390,333,26,9,JFK,LAX,2475,33,41,0,9,0,17,0,0
477755,1,2,847,810,1252,1155,365,345,339,57,37,LAX,HNL,2556,7,19,0,37,0,20,0,0
478003,1,2,1741,1705,2000,1935,139,150,106,25,36,ORD,DFW,802,6,27,0,0,25,0,0,0
478065,1,2,942,905,1504,1425,562,560,538,39,37,ORD,HNL,4243,4,20,0,0,37,2,0,0
478220,1,2,1358,1300,1613,1520,135,140,111,53,58,DFW,ORD,802,8,16,0,53,0,0,0,0
478313,1,2,1231,920,2100,1740,329,320,289,200,191,LAX,EWR,2454,7,33,0,191,0,9,0,0
478406,1,2,2217,1845,106,2200,349,375,323,186,212,EWR,LAX,2454,6,20,0,15,0,0,0,171
478592,1,2,1757,1630,2109,1955,372,385,349,74,87,BOS,LAX,2611,6,17,0,2,0,0,0,72
478654,1,2,2331,2325,812,750,341,325,319,22,6,SFO,BOS,2704,6,16,0,5,0,17,0,0
478685,1,2,1758,1715,2119,2030,141,135,116,49,43,ORD,BOS,867,4,21,0,0,25,6,0,18
478747,1,2,1719,1650,2115,2025,356,335,334,50,29,LAX,OGG,2486,5,17,0,0,0,24,0,26
478809,1,2,1719,1520,116,2330,297,310,280,106,119,LAX,EWR,2454,5,12,0,104,0,0,0,2
478924,1,2,1833,1615,242,25,309,310,288,137,138,LAX,JFK,2475,4,17,0,126,0,0,0,11
479075,1,2,1523,1425,2336,2250,313,325,295,46,58,SFO,BOS,2704,6,12,0,46,0,0,0,0
479195,1,2,829,705,1655,1525,326,320,300,90,84,LAX,BOS,2611,5,21,0,84,0,6,0,0
479257,1,2,1706,1630,2007,1950,361,380,342,17,36,BOS,SAN,2588,5,14,0,17,0,0,0,0
479368,1,2,1233,1145,1551,1520,438,455,422,31,48,SJU,LAX,3386,4,12,0,0,0,0,0,31
479418,1,2,159,2355,924,655,325,300,298,149,124,KOA,LAX,2504,17,10,0,0,0,25,2,122
479449,1,2,2102,1845,27,2225,325,340,304,122,137,LAX,KOA,2504,3,18,0,122,0,0,0,0
479542,1,2,1331,1010,1726,1350,355,340,332,216,201,LAX,OGG,2486,6,17,0,201,0,15,0,0
479573,1,2,1827,1520,123,2230,296,310,278,173,187,OGG,LAX,2486,6,12,0,0,0,0,0,173
479697,1,2,1935,1335,354,2155,319,320,292,359,360,LAX,BOS,2611,3,24,0,49,0,0,0,310
479883,1,2,2302,2150,712,600,310,310,289,72,72,SFO,MIA,2585,9,12,0,0,0,2,0,70
479914,1,2,2343,2315,727,700,284,285,262,27,28,LAX,MIA,2342,6,16,0,27,0,0,0,0
479945,1,2,1614,1540,1935,1905,141,145,121,30,34,DFW,MCO,984,5,15,0,30,0,0,0,0
480038,1,2,1647,1555,10,2320,323,325,289,50,52,HNL,LAX,2556,19,15,0,13,0,0,0,37
480131,1,2,1205,1045,1606,1445,181,180,153,81,80,ORD,MIA,1197,7,21,0,0,80,1,0,0
480162,1,2,1703,1555,1927,1820,204,205,162,67,68,MIA,ORD,1197,15,27,0,0,0,12,0,55
480224,1,2,1356,1340,1620,1600,324,320,307,20,16,MCO,LAX,2217,4,13,0,0,0,4,0,16
481121,1,2,1919,1505,25,2035,186,210,172,230,254,SFO,DFW,1464,3,11,0,223,0,0,0,7
481396,1,2,1715,1705,1833,1815,78,70,47,18,10,ORD,STL,258,3,28,0,0,10,8,0,0
481423,1,2,2234,2135,125,30,111,115,93,55,59,ORD,LGA,733,4,14,0,0,0,18,0,37
481454,1,2,1520,1445,2130,2040,250,235,228,50,35,SNA,ORD,1726,14,8,0,0,0,29,0,21
481481,1,2,1558,1535,1735,1715,157,160,133,20,23,LGA,ORD,733,8,16,0,0,0,20,0,0
481632,1,2,1610,1600,1900,1840,170,160,139,20,10,AUS,ORD,978,16,15,0,0,0,20,0,0
481663,1,2,2034,1930,2343,2240,129,130,103,63,64,ORD,LGA,733,4,22,0,0,21,0,0,42
481721,1,2,1422,1335,1804,1745,162,190,146,19,47,DFW,PHL,1302,3,13,0,4,0,0,0,15
481748,1,2,1138,1055,1316,1245,98,110,77,31,43,OMA,DFW,583,10,11,0,0,0,0,0,31
481779,1,2,1551,1530,1827,1800,216,210,200,27,21,DCA,DFW,1192,5,11,0,0,0,7,0,20
481810,1,2,1915,1850,2044,2020,209,210,185,24,25,DFW,FAT,1313,6,18,0,12,0,0,0,12
481841,1,2,1345,1320,1808,1720,203,180,181,48,25,ELP,ORD,1236,6,16,0,0,0,39,0,9
481872,1,2,1912,1815,2209,2125,117,130,97,44,57,ORD,LGA,733,3,17,0,0,22,0,0,22
481903,1,2,2112,2035,2156,2135,164,180,143,21,37,DFW,LAS,1055,5,16,0,21,0,0,0,0
481962,1,2,1359,1300,1910,1805,191,185,154,65,59,BUR,DFW,1231,14,23,0,0,3,6,0,56
481993,1,2,2017,1855,2207,2025,110,90,76,102,82,DFW,MCI,460,11,23,0,55,0,20,0,27
482024,1,2,1932,1915,2113,2055,161,160,123,18,17,LGA,ORD,733,25,13,0,0,0,16,0,2
482055,1,2,1536,1515,1708,1640,92,85,68,28,21,MSP,ORD,334,10,14,0,0,0,18,0,10
482061,1,2,1753,1735,2113,2045,140,130,107,28,18,ORD,LGA,733,5,28,0,0,10,10,0,8
482119,1,2,1406,1400,1727,1705,261,245,216,22,6,BDL,DFW,1471,4,41,0,0,6,16,0,0
482150,1,2,1823,1750,1929,1850,126,120,100,39,33,DFW,DEN,641,6,20,0,21,0,6,0,12
482177,1,2,1507,1415,1658,1545,111,90,65,73,52,MCI,ORD,403,35,11,0,0,0,57,0,16
482205,1,2,1743,1630,2105,1940,142,130,105,85,73,ORD,LGA,733,4,33,0,0,10,12,0,63
482267,1,2,1358,1350,1530,1515,92,85,65,15,8,MSP,ORD,334,12,15,0,0,0,15,0,0
482298,1,2,1635,1600,1947,1915,132,135,102,32,35,ORD,LGA,733,15,15,0,16,12,0,0,4
482387,1,2,1650,1530,2013,1845,143,135,110,88,80,ORD,LGA,733,7,26,0,52,28,8,0,0
482449,1,2,2102,2000,2234,2130,152,150,109,64,62,LGA,ORD,733,32,11,0,0,0,11,0,53
482503,1,2,1533,1430,1837,1745,124,135,97,52,63,ORD,LGA,733,5,22,0,0,31,0,0,21
482565,1,2,1408,1330,1718,1640,130,130,101,38,38,ORD,LGA,733,7,22,0,0,38,0,0,0
482655,1,2,2203,2035,2356,2235,173,180,159,81,88,SJU,TPA,1237,3,11,0,0,0,0,0,81
482717,1,2,1947,1845,2130,2045,103,120,82,45,62,MIA,ATL,595,6,15,0,17,0,0,0,28
482864,1,2,1234,1145,1535,1450,121,125,102,45,49,ORD,LGA,733,5,14,0,0,28,0,0,17
482984,1,2,1837,1820,2001,1945,144,145,115,16,17,DFW,TUS,813,8,21,0,1,0,0,0,15
483015,1,2,1546,1525,1801,1735,195,190,176,26,21,RDU,DFW,1062,6,13,0,1,0,5,0,20
483228,1,2,1624,1540,2115,2040,171,180,153,35,44,BUR,DFW,1231,7,11,0,0,0,0,0,35
483460,1,2,630,600,921,900,111,120,96,21,30,ORD,LGA,733,3,12,0,7,14,0,0,0
483549,1,2,725,645,1048,1015,143,150,124,33,40,DFW,RSW,1017,5,14,0,33,0,0,0,0
483580,1,2,2227,2215,2345,2330,138,135,118,15,12,DFW,TUS,813,6,14,0,5,0,3,0,7
483669,1,2,659,640,805,750,66,70,48,15,19,ORD,STL,258,3,15,0,0,15,0,0,0
483692,1,2,2214,2040,100,2330,106,110,84,90,94,ORD,PHL,678,2,20,0,68,0,0,0,22
483723,1,2,1806,1755,2028,1955,142,120,90,33,11,TUL,ORD,585,35,17,0,0,0,22,0,11
483987,1,2,1539,1510,1630,1605,51,55,34,25,29,DFW,OKC,175,5,12,0,25,0,0,0,0
